IN	ADP	in
he	PRON	he
intends	VERB	intend
to	PART	to
go	VERB	go
in	ADV	in
for	ADP	for
.	PUNCT	.
I	PRON	I
believe	VERB	believe
he	PRON	he
is	AUX	be
well	ADV	well
up	ADP	up
in	ADP	in
anatomy	NOUN	anatomy
,	PUNCT	,
and	CCONJ	and
he	PRON	he
is	VERB	be
a	DET	a
first	ADJ	first
-	PUNCT	-
class	NOUN	class
chemist	NOUN	chemist
;	PUNCT	;
but	CCONJ	but
,	PUNCT	,
as	ADV	as
far	ADV	far
as	ADP	as
I	PRON	I
know	VERB	know
,	PUNCT	,
he	PRON	he
has	AUX	have
never	ADV	never
taken	VERB	take
out	ADP	out
any	DET	any
systematic	ADJ	systematic
medical	ADJ	medical
classes	NOUN	class
.	PUNCT	.
His	PRON	his
studies	NOUN	study
are	AUX	be
very	ADV	very
desultory	ADJ	desultory
and	CCONJ	and
eccentric	ADJ	eccentric
,	PUNCT	,
but	CCONJ	but
he	PRON	he
has	AUX	have
amassed	VERB	amass
a	DET	a
lot	NOUN	lot
of	ADP	of
out	SCONJ	out
-	PUNCT	-
of	ADP	of
-	PUNCT	-
the	DET	the
way	NOUN	way
knowledge	NOUN	knowledge
which	DET	which
would	AUX	would
astonish	VERB	astonish
his	PRON	his
professors	NOUN	professor
.	PUNCT	.
"""""Did"	PUNCT	"""""Did"
you	PRON	you
never	ADV	never
ask	VERB	ask
him	PRON	he
what	PRON	what
he	PRON	he
was	AUX	be
going	VERB	go
in	ADP	in
for	ADP	for
?	PUNCT	?
""""	PUNCT	""""
I	PRON	I
asked	VERB	ask
.	PUNCT	.
"""No"	X	"""no"
;	PUNCT	;
he	PRON	he
is	AUX	be
not	PART	not
a	DET	a
man	NOUN	man
that	SCONJ	that
it	PRON	it
is	VERB	be
easy	ADJ	easy
to	PART	to
draw	VERB	draw
out	ADP	out
,	PUNCT	,
though	SCONJ	though
he	PRON	he
can	AUX	can
be	VERB	be
communicative	ADJ	communicative
enough	ADV	enough
when	ADV	when
the	DET	the
fancy	NOUN	fancy
seizes	VERB	seize
him	PRON	he
.	PUNCT	.
"""""I"	PUNCT	"""""I"
should	AUX	should
like	VERB	like
to	PART	to
meet	VERB	meet
him	PRON	he
,	PUNCT	,
""""	PUNCT	""""
I	PRON	I
said	VERB	say
.	PUNCT	.
""""	PUNCT	""""
If	SCONJ	if
I	PRON	I
am	VERB	be
to	PART	to
lodge	VERB	lodge
with	ADP	with
anyone	PRON	anyone
,	PUNCT	,
I	PRON	I
should	AUX	should
prefer	VERB	prefer
a	DET	a
man	NOUN	man
of	ADP	of
studious	ADJ	studious
and	CCONJ	and
quiet	ADJ	quiet
habits	NOUN	habit
.	PUNCT	.
I	PRON	I
am	AUX	be
not	PART	not
strong	ADJ	strong
enough	ADV	enough
yet	ADV	yet
to	PART	to
stand	VERB	stand
much	ADJ	much
noise	NOUN	noise
or	CCONJ	or
excitement	NOUN	excitement
.	PUNCT	.
I	PRON	I
had	VERB	have
enough	ADJ	enough
of	ADP	of
both	DET	both
in	ADP	in
Afghanistan	PROPN	Afghanistan
to	PART	to
last	VERB	last
me	PRON	I
for	ADP	for
the	DET	the
remainder	NOUN	remainder
of	ADP	of
my	PRON	my
natural	ADJ	natural
existence	NOUN	existence
.	PUNCT	.
How	ADV	how
could	AUX	could
I	PRON	I
meet	VERB	meet
this	DET	this
friend	NOUN	friend
of	ADP	of
"yours?""""He"	PRON	"yours?""""he"
is	AUX	be
sure	ADJ	sure
to	PART	to
be	VERB	be
at	ADP	at
the	DET	the
laboratory	NOUN	laboratory
,	PUNCT	,
""""	PUNCT	""""
returned	VERB	return
my	PRON	my
companion	NOUN	companion
.	PUNCT	.
""""	PUNCT	""""
He	PRON	he
either	CCONJ	either
avoids	VERB	avoid
the	DET	the
place	NOUN	place
for	ADP	for
weeks	NOUN	week
,	PUNCT	,
or	CCONJ	or
else	ADV	else
he	PRON	he
works	VERB	work
there	ADV	there
from	ADP	from
morning	NOUN	morning
to	ADP	to
night	NOUN	night
.	PUNCT	.
If	SCONJ	if
you	PRON	you
like	VERB	like
,	PUNCT	,
we	PRON	we
shall	AUX	shall
drive	VERB	drive
round	ADV	round
together	ADV	together
after	ADP	after
luncheon	NOUN	luncheon
.	PUNCT	.
"""""Certainly"	ADV	"""""certainly"
,	PUNCT	,
""""	PUNCT	""""
I	PRON	I
answered	VERB	answer
,	PUNCT	,
and	CCONJ	and
the	DET	the
conversation	NOUN	conversation
drifted	VERB	drift
away	ADV	away
into	ADP	into
other	ADJ	other
channels	NOUN	channel
.	PUNCT	.
As	ADP	as
we	PRON	we
made	VERB	make
our	PRON	our
way	NOUN	way
to	ADP	to
the	DET	the
hospital	NOUN	hospital
after	ADP	after
leaving	VERB	leave
the	DET	the
Holborn	PROPN	Holborn
,	PUNCT	,
Stamford	PROPN	Stamford
gave	VERB	give
me	PRON	I
a	DET	a
few	ADJ	few
more	ADJ	more
particulars	NOUN	particular
about	ADP	about
the	DET	the
gentleman	NOUN	gentleman
whom	PRON	whom
I	PRON	I
proposed	VERB	propose
to	PART	to
take	VERB	take
as	ADP	as
a	DET	a
fellow	NOUN	fellow
-	PUNCT	-
lodger	NOUN	lodger
.	PUNCT	.
"""You"	PUNCT	"""You"
must	AUX	must
n't	PART	n't
blame	VERB	blame
me	PRON	I
if	SCONJ	if
you	PRON	you
do	AUX	do
n't	PART	n't
get	VERB	get
on	ADP	on
with	ADP	with
him	PRON	he
,	PUNCT	,
""""	PUNCT	""""
he	PRON	he
said	VERB	say
;	PUNCT	;
""""	PUNCT	""""
I	PRON	I
know	VERB	know
nothing	PRON	nothing
more	ADJ	more
of	ADP	of
him	PRON	he
than	SCONJ	than
I	PRON	I
have	AUX	have
learned	VERB	learn
from	ADP	from
meeting	VERB	meet
him	PRON	he
occasionally	ADV	occasionally
in	ADP	in
the	DET	the
laboratory	NOUN	laboratory
.	PUNCT	.
You	PRON	you
proposed	VERB	propose
this	DET	this
arrangement	NOUN	arrangement
,	PUNCT	,
so	ADV	so
you	PRON	you
must	AUX	must
not	PART	not
hold	VERB	hold
me	PRON	I
responsible	ADJ	responsible
.	PUNCT	.
"""""If"	INTJ	"""""if"
we	PRON	we
do	AUX	do
n't	PART	n't
get	VERB	get
on	ADP	on
it	PRON	it
will	AUX	will
be	VERB	be
easy	ADJ	easy
to	PART	to
part	VERB	part
company	NOUN	company
,	PUNCT	,
""""	PUNCT	""""
I	PRON	I
answered	VERB	answer
.	PUNCT	.
""""	PUNCT	""""
It	PRON	it
seems	VERB	seem
to	ADP	to
me	PRON	I
,	PUNCT	,
Stamford	PROPN	Stamford
,	PUNCT	,
""""	PUNCT	""""
I	PRON	I
added	VERB	add
,	PUNCT	,
looking	VERB	look
hard	ADV	hard
at	ADP	at
my	PRON	my
companion	NOUN	companion
,	PUNCT	,
""""	PUNCT	""""
that	SCONJ	that
you	PRON	you
have	VERB	have
some	DET	some
reason	NOUN	reason
for	ADP	for
washing	VERB	wash
your	PRON	your
hands	NOUN	hand
of	ADP	of
the	DET	the
matter	NOUN	matter
.	PUNCT	.
Is	AUX	be
this	DET	this
fellow	NOUN	fellow
's	PART	's
